Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
30,Jay Schroeder,WAS,24,qb,9,5,4/1/00,112,209,53.6,1458,5,2.4,5,2.4,53,7,6.4,13,162,73.8,15,114,6.7,6,5.44,3,3
31,Mark Malone,PIT,27,QB,10,8,3/5/00,117,233,50.2,1428,13,5.6,7,3,45,6.1,5.9,12.2,142.8,75.5,10,80,4.1,5.55,5.32,,
32,David Woodley,PIT,27,qb,9,6,4/2/00,94,183,51.4,1357,6,3.3,14,7.7,69,7.4,4.6,14.4,150.8,54.8,13,84,6.6,6.49,3.89,1,1
33,Steve Grogan,NWE,32,qb,7,6,5/1/00,85,156,54.5,1311,7,4.5,5,3.2,56,8.4,7.9,15.4,187.3,84.1,11,86,6.6,7.34,6.83,2,3
34,Gary Danielson,CLE,34,qb,8,6,4/2/00,97,163,59.5,1274,8,4.9,6,3.7,72,7.8,7.1,13.1,159.3,85.3,17,128,9.4,6.37,5.76,1,1
35,Bobby Hebert,NOR,25,qb,6,6,2/4/00,97,181,53.6,1208,5,2.8,4,2.2,76,6.7,6.2,12.5,201.3,74.6,17,150,8.6,5.34,4.94,0,1
36,Todd Blackledge,KAN,24,qb,12,6,3/3/00,86,172,50,1190,6,3.5,14,8.1,70,6.9,4,13.8,99.2,50.3,15,112,8,5.76,3.04,,
37,Gary Hogeboom,DAL,27,qb,16,2,0-2-0,70,126,55.6,978,5,4,7,5.6,58,7.8,6.1,14,61.1,70.8,14,118,10,6.14,4.61,,
38,Steve Young,TAM,24,qb,5,5,1/4/00,72,138,52.2,935,3,2.2,8,5.8,59,6.8,4.6,13,187,56.9,21,158,13.2,4.89,3,1,1
39,Jim Plunkett,RAI,38,qb,3,3,1/2/00,71,103,68.9,803,3,2.9,3,2.9,41,7.8,7.1,11.3,267.7,89.6,13,101,11.2,6.05,5.41,,
40,Jim Zorn,GNB,32,qb,13,5,3/2/00,56,123,45.5,794,4,3.3,6,4.9,56,6.5,4.9,14.2,61.1,57.4,11,89,8.2,5.26,3.84,0,1
41,Steve Fuller,CHI,28,qb,16,5,4/1/00,53,107,49.5,777,1,0.9,5,4.7,69,7.3,5.3,14.7,48.6,57.3,17,102,13.7,5.44,3.79,,
42,Steve Bartkowski,ATL,33,qb,5,5,0-5-0,69,111,62.2,738,5,4.5,1,0.9,62,6.6,7.1,10.7,147.6,92.8,18,158,14,4.5,4.92,,
43,Scott Campbell,PIT,23,qb,16,2,0-2-0,43,96,44.8,612,4,4.2,6,6.3,51,6.4,4.4,14.2,38.3,53.8,10,60,9.4,5.21,3.42,1,1
44,Oliver Luck,HOU,25,qb,5,2,1/1/00,56,100,56,572,2,2,2,2,46,5.7,5.2,10.2,114.4,70.9,8,50,7.4,4.83,4.37,1,1
45,Randy Wright,GNB,24,qb,5,1,0-1-0,39,74,52.7,552,2,2.7,4,5.4,38,7.5,5.6,14.2,110.4,63.6,8,67,9.8,5.91,4.21,1,1
46,Randall Cunningham,PHI,22,qb,6,4,1/3/00,34,81,42,548,1,1.2,8,9.9,69,6.8,2.6,16.1,91.3,29.8,20,150,19.8,3.94,0.57,0,1
47,Turk Schonert,CIN,28,qb,7,0,,33,51,64.7,460,1,2,0,0,71,9,9.4,13.9,65.7,100.1,6,54,10.5,7.12,7.47,,
48,Wade Wilson,MIN,26,qb,4,1,1-0-0,33,60,55,404,3,5,3,5,42,6.7,5.5,12.2,101,71.8,4,28,6.3,5.88,4.7,1,1
49,Joe Ferguson,DET,35,qb,8,1,0-1-0,31,54,57.4,364,2,3.7,3,5.6,38,6.7,5,11.7,45.5,67.2,4,35,6.9,5.67,4.03,,
50,Scott Brunner,STL,28,qb,16,0,,30,60,50,336,1,1.7,6,10,40,5.6,1.4,11.2,21,33.1,4,27,6.3,4.83,0.92,,
51,Matt Cavanaugh,SFO,29,qb,16,1,1-0-0,28,54,51.9,334,1,1.9,1,1.9,41,6.2,5.7,11.9,20.9,69.5,7,53,11.5,4.61,4.2,,
52,Bob Holly,ATL,25,qb,5,0,,24,39,61.5,295,1,2.6,2,5.1,44,7.6,5.8,12.3,59,72.1,8,61,17,4.98,3.49,,
53,Matt Kofler,IND,26,qb,5,1,0-1-0,23,48,47.9,284,1,2.1,3,6.3,33,5.9,3.5,12.3,56.8,47.6,8,58,14.3,4.04,1.98,,
54,Mike Moroski,HOU,28,qb,5,0,,20,34,58.8,249,1,2.9,1,2.9,46,7.3,6.6,12.5,49.8,79.2,4,25,10.5,5.89,5.24,,
55,Gale Gilbert,SEA,24,qb,9,0,,19,40,47.5,218,1,2.5,2,5,37,5.5,3.7,11.5,24.2,51.9,1,9,2.4,5.1,3.39,,
56,Jeff Kemp,RAM,26,qb,5,1,0-1-0,16,38,42.1,214,0,0,1,2.6,35,5.6,4.4,13.4,42.8,49.7,6,58,13.6,3.55,2.52,,
57,Richard Todd,NOR,32,qb,2,0,,16,32,50,191,3,9.4,4,12.5,56,6,2.2,11.9,95.5,60.3,1,10,3,5.48,1.85,,
58,Ken Anderson,CIN,36,qb,3,2,0-2-0,16,32,50,170,2,6.3,0,0,44,5.3,6.6,10.6,56.7,86.7,2,16,5.9,4.53,5.71,,
59,Don Strock,MIA,35,qb,16,0,,7,9,77.8,141,1,11.1,0,0,67,15.7,17.9,20.1,8.8,155.8,0,0,0,15.67,17.89,,
60,Art Schlichter,IND,25,qb,1,1,0-1-0,12,25,48,107,0,0,2,8,16,4.3,0.7,8.9,107,26.6,2,6,7.4,3.74,0.41,,
61,Walter Payton*+,CHI,31,RB,16,16,,3,5,60,96,1,20,0,0,50,19.2,23.2,32,6,143.7,0,0,0,19.2,23.2,,
62,Pat Ryan,NYJ,30,qb,16,0,,6,9,66.7,95,0,0,0,0,50,10.6,10.6,15.8,5.9,101.6,0,0,0,10.56,10.56,,
63,Gary Kubiak,DEN,24,qb,16,0,,2,5,40,61,1,20,0,0,54,12.2,16.2,30.5,3.8,125.8,0,0,0,12.2,16.2,0,1
