,,,,,Games,,Rushing,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
175,Ken Lacy,KAN,25,rb,2,0,6,21,0,6,3.5,10.5,1
176,Jerry Rice,SFO,23,wr,16,4,6,26,1,15,4.3,1.6,1
177,Steve Bartkowski,ATL,33,qb,5,5,5,9,0,5,1.8,1.8,3
178,Phil Epps,GNB,27,WR,16,16,5,103,1,34,20.6,6.4,1
179,Willie Gault,CHI,25,WR,16,16,5,18,0,11,3.6,1.1,0
180,Andre Hardy,SEA,24,rb,3,1,5,5,0,4,1,1.7,1
181,Jeff Kemp,RAM,26,qb,5,1,5,0,0,3,0,0,2
182,William Perry,CHI,23,RDT,16,9,5,7,2,2,1.4,0.4,0
183,Jim Plunkett,RAI,38,qb,3,3,5,12,0,7,2.4,4,6
184,Matt Cavanaugh,SFO,29,qb,16,1,4,5,0,13,1.3,0.3,0
185,Johnny Davis,CLE,29,rb,16,0,4,9,0,5,2.3,0.6,0
186,Dan Doornink,SEA,29,rb,6,1,4,0,0,3,0,0,0
187,Major Everett,PHI,25,rb,15,0,4,13,0,8,3.3,0.9,2
188,Joe Ferguson,DET,35,qb,8,1,4,12,1,15,3,1.5,1
189,Matt Kofler,IND,26,qb,5,1,4,33,1,23,8.3,6.6,0
190,James Lofton*,GNB,29,WR,16,16,4,14,0,21,3.5,0.9,3
191,Nathan Poole,DEN,29,rb,3,0,4,12,0,6,3,4,0
192,Otis Wonsley,WAS,28,rb,16,1,4,8,0,5,2,0.5,0
193,Scott Brunner,STL,28,qb,16,0,3,8,0,8,2.7,0.5,3
194,Wayne Capers,IND,24,WR,14,10,3,18,1,20,6,1.3,1
195,Carlos Carson,KAN,27,WR,15,14,3,25,0,13,8.3,1.7,0
196,Henry Ellard,RAM,24,WR,16,16,3,8,0,16,2.7,0.5,5
197,Rusty Hilger,RAI,23,qb,4,0,3,8,0,4,2.7,2,1
198,Bob Holly,ATL,25,qb,5,0,3,36,1,20,12,7.2,1
199,Mike Meade,DET,25,rb,16,0,3,18,0,9,6,1.1,0
200,Steve Pelluer,DAL,23,qb,2,0,3,-2,0,1,-0.7,-1,0
201,Andre Reed,BUF,21,WR,16,15,3,-1,1,14,-0.3,-0.1,2
202,Pat Ryan,NYJ,30,qb,16,0,3,-5,0,-1,-1.7,-0.3,0
203,J.T. Smith,STL,30,wr,14,5,3,36,0,30,12,2.6,3
204,Rick Walker,WAS,30,te,16,0,3,16,0,9,5.3,1,0
205,Adger Armstrong,TAM,28,rb,16,0,2,6,0,8,3,0.4,0
206,Ron Brown*+,RAM,24,WR,13,9,2,13,0,9,6.5,1,2
207,Gary Clark,WAS,23,WR,16,10,2,10,0,7,5,0.6,0
208,Greg Coleman,MIN,31,p,16,0,2,0,0,0,0,0,1
209,Earl Cooper,SFO,28,te,15,0,2,12,0,14,6,0.8,0
210,Steve Dils,RAM,30,qb,15,0,2,-4,0,-2,-2,-0.3,0
211,Rick Donnelly,ATL,23,p,11,0,2,-5,0,0,-2.5,-0.5,0
212,Willie Drewrey,HOU,22,wr,14,0,2,-4,0,5,-2,-0.3,2
213,Bobby Fowler,NOR,25,fb,10,0,2,4,0,3,2,0.4,0
214,Anthony Hutchison,BUF,24,rb,5,0,2,11,0,7,5.5,2.2,0
215,Ken Jenkins,WAS,26,rb,13,0,2,39,0,37,19.5,3,1
216,Mike Jones,MIN,25,wr,16,8,2,6,0,6,3,0.4,0
217,Louis Lipps*,PIT,23,WR,16,16,2,16,1,15,8,1,5
218,Eric Martin,NOR,24,WR,16,12,2,-1,0,11,-0.5,-0.1,1
219,Mike Moroski,HOU,28,qb,5,0,2,2,0,2,1,0.4,0
220,Jeff Rutledge,NYG,28,qb,16,0,2,-6,0,-2,-3,-0.4,1
221,Art Schlichter,IND,25,qb,1,1,2,13,0,9,6.5,13,1
222,Freddie Solomon,SFO,32,WR,16,12,2,4,0,6,2,0.3,1
223,Steve Strachan,RAI,22,rb,4,0,2,1,0,1,0.5,0.3,0
224,Don Strock,MIA,35,qb,16,0,2,-6,0,-3,-3,-0.4,0
225,Steve Tasker,HOU,23,wr,7,0,2,16,0,13,8,2.3,0
226,Mike Tomczak,CHI,23,qb,6,0,2,3,0,3,1.5,0.5,1
227,Frank Wattelet,NOR,27,FS,16,16,2,42,0,23,21,2.6,0
228,Byron Williams,NYG,25,wr,16,5,2,18,0,17,9,1.1,0
229,Ken Anderson,CIN,36,qb,3,2,1,0,0,0,0,0,1
230,Jess Atkinson,2TM,24,,8,0,1,14,1,14,14,1.8,0
231,Mike Baab,CLE,26,C,16,16,1,0,0,0,0,0,1
232,Stacey Bailey,ATL,25,WR,15,13,1,-3,0,-3,-3,-0.2,1
233,Gordon Banks,DAL,27,wr,2,0,1,-1,0,-1,-1,-0.5,0
234,Mike Black,DET,24,p,16,0,1,0,0,0,0,0,1
235,Ray Butler,2TM,29,,13,9,1,-1,0,0,-1,-0.1,0
236,Gerald Carter,TAM,28,WR,16,16,1,13,0,13,13,0.8,1
237,Wes Chandler*,SDG,29,WR,15,13,1,9,0,9,9,0.6,1
238,Mark Clayton*,MIA,24,WR,16,16,1,10,0,10,10,0.6,2
239,Cris Collinsworth,CIN,26,WR,16,16,1,3,0,3,3,0.2,1
240,Dave Finzer,SEA,26,p,12,0,1,-2,0,-2,-2,-0.2,0
241,Byron Franklin,SEA,27,wr,13,0,1,5,0,5,5,0.4,0
242,Tony Franklin,NWE,29,k,16,0,1,-5,0,-5,-5,-0.3,0
243,Eugene Goodlow,NOR,27,WR,12,11,1,3,0,3,3,0.3,0
244,Darrell Green,WAS,25,LCB,16,16,1,6,0,6,6,0.4,2
245,Roy Green,STL,28,WR,13,13,1,2,0,2,2,0.2,2
246,Ray Guy,RAI,36,p,16,0,1,0,0,0,0,0,1
